,ticker,total_predictions,total_correct_predicions,overall_success_rate,predicted_higher_correct,total_predicted_higher,predicted_higher_success_rate,adj_sell_vs_pred_pct,latest_close,last_date_for_prediction,prediction_price,adj_prediction_price,adj_prediction_higher,stop_loss ,adj_prediction_price_w_high_inc
8,MA,37,29,0.7837837837837838,24,25,0.96,-0.0010384385594010815,499.5899963378906,2024-10-31,501.39960021972655,500.8789275411901,True,-0.02218389401490661,503.83086988759595
3,PAYX,37,29,0.7837837837837838,23,24,0.9583333333333334,-0.0015073033201229561,139.3300018310547,2024-10-31,138.8331756591797,138.6239119525654,False,-0.0651384557984556,139.58512221548307
31,AFG,37,31,0.8378378378378378,18,19,0.9473684210526315,0.0015352901457385945,128.92999267578125,2024-10-31,134.47710021972657,134.68356158652142,True,-0.03071313507830485,135.7694696984928
9,PG,37,33,0.8918918918918919,16,17,0.9411764705882353,-0.0004472341237997728,165.17999267578125,2024-10-31,170.34819747924806,170.27201195240755,True,-0.031180047261603727,171.27879687236123
33,ADP,37,28,0.7567567567567568,23,25,0.92,-0.0025869876181288296,289.239990234375,2024-10-31,280.2425994873047,279.5176153523588,False,-0.025140029840121446,280.9741943949836
2,DRI,37,30,0.8108108108108109,20,22,0.9090909090909091,-0.003286541471515674,160.02000427246094,2024-10-31,159.91780044555665,159.39222396235877,False,-0.04063250286440421,160.7572954439409
47,NSC,37,32,0.8648648648648649,23,26,0.8846153846153846,0.0012929002236361361,250.42999267578125,2024-10-31,252.66179901123047,252.9884655076764,True,-0.03312438506593309,255.38837093831125
1,GOOG,37,27,0.7297297297297297,15,17,0.8823529411764706,0.002204291104077243,172.69000244140625,2024-10-31,162.14499908447266,162.50241386352516,False,-0.027713955861867038,164.23104037707395
35,AXS,37,28,0.7567567567567568,22,25,0.88,-0.001412921797195889,78.26000213623047,2024-10-31,79.25059906005859,79.1386241612058,True,-0.027909571557243877,79.77901838194944
24,XLP,37,30,0.8108108108108109,14,16,0.875,-0.0005238166580513957,80.12000274658203,2024-10-31,82.90934523643176,82.86591594028879,True,-0.018766054334231404,83.21444020606657
19,XLY,37,28,0.7567567567567568,19,23,0.8260869565217391,-0.0006085886756576596,196.88999938964844,2024-10-31,194.25939865112304,194.1411745809639,False,-0.03300370868376953,195.23564820112944
21,XLRE,37,28,0.7567567567567568,18,22,0.8181818181818182,-0.0010824155595209092,43.20000076293945,2024-10-31,43.61720058441162,43.569988647836304,True,-0.025166555353677886,43.7825246645984
26,XLE,37,29,0.7837837837837838,13,16,0.8125,-0.003802256021195414,88.58999633789062,2024-10-31,89.05429916381836,88.7156919186094,True,-0.033371708572585965,89.36691654286173
22,XLU,37,26,0.7027027027027027,21,26,0.8076923076923077,-0.0009198316516930473,79.91000366210938,2024-10-31,77.3670883178711,77.29592362123698,False,-0.019342808792051656,77.69210045166858
20,XLF,37,25,0.6756756756756757,21,26,0.8076923076923077,-0.00383719363091192,46.47999954223633,2024-10-31,46.003500595092774,45.82697625560963,False,-0.020746834693905727,46.049459394137344
44,TRN,37,25,0.6756756756756757,20,25,0.8,0.0011546608583268142,34.279998779296875,2024-10-31,34.306399459838865,34.346011716485265,True,-0.05517030092153443,34.74961998441503
12,AMZN,37,26,0.7027027027027027,18,23,0.782608695652174,0.0010384064680284335,186.39999389648438,2024-10-31,185.4434622372331,185.6360279278738,False,-0.06206716987155584,187.5619760625766
39,CTBI,37,27,0.7297297297297297,25,32,0.78125,-0.0027083499019530414,51.79999923706055,2024-10-31,49.88309963226318,49.74799874426503,False,-0.06097299661126508,50.32678370455763
50,PLTR,37,22,0.5945945945945946,20,26,0.7692307692307693,-0.00039059297911786615,41.560001373291016,2024-10-31,39.88060037612915,39.86502329361923,False,-0.13471505756096194,40.503371581056065
18,XLI,37,25,0.6756756756756757,20,26,0.7692307692307693,0.0025870889838747173,133.8300018310547,2024-10-31,128.57483764431217,128.90747219038522,False,-0.025257802307515273,129.59666128038495
14,CSCO,37,23,0.6216216216216216,20,26,0.7692307692307693,-0.004589752056428712,54.77000045776367,2024-10-31,52.133500289916995,51.89422044975252,False,-0.028269180837098864,52.28031137393817
28,NVDA,37,22,0.5945945945945946,16,21,0.7619047619047619,0.01401162107665666,132.75999450683594,2024-10-31,133.36450248718262,135.23315536110988,True,-0.10761929919609117,137.8685605051908
34,AVNT,37,26,0.7027027027027027,12,16,0.75,0.0038326734597385424,46.61000061035156,2024-10-31,46.7945207328714,46.97386885054546,True,-0.09225893212996417,47.53312826719096
6,KR,37,24,0.6486486486486487,17,23,0.7391304347826086,0.0019146711043609343,55.77000045776367,2024-10-31,55.928820078553926,56.035905374259336,True,-0.07142857671735973,56.47904523117506
27,XLC,37,19,0.5135135135135135,18,25,0.72,0.002601057744378989,92.04000091552734,2024-10-31,91.174052573022,91.41120154855346,False,-0.021899546584122128,91.91368481793329
15,JCI,37,24,0.6486486486486487,17,24,0.7083333333333334,0.003915252420781052,75.55000305175781,2024-10-31,75.3088003540039,75.60365331689604,True,-0.03318223244480985,76.24419751114971
41,PRU,37,24,0.6486486486486487,19,27,0.7037037037037037,-0.001924260701836834,122.4800033569336,2024-10-31,119.41210029602051,119.18232028409709,False,-0.028417732695842895,120.15426603982279
17,XLK,37,22,0.5945945945945946,14,20,0.7,0.006215723257251273,222.24000549316406,2024-10-31,222.90510040283203,224.29061681956586,True,-0.04717429254757207,226.10121178903276
11,CAT,37,27,0.7297297297297297,16,23,0.6956521739130435,0.0018743789760083639,376.20001220703125,2024-10-31,304884.08237242367,305455.5506865421,True,-0.05133656180807166,308218.51774600154
5,VAC,37,23,0.6216216216216216,18,26,0.6923076923076923,0.002483937803004462,77.02999877929688,2024-10-31,75.27840057373047,75.46538743866526,False,-0.06380065727828077,76.43564309069235
46,WSO,37,26,0.7027027027027027,11,16,0.6875,0.0022756446595795913,473.010009765625,2024-10-31,469.6463952636719,470.7151435749444,False,-0.05053749457959894,476.5589323493848
10,HPE,37,25,0.6756756756756757,13,19,0.6842105263157895,0.0030631425049624838,19.489999771118164,2024-10-31,19.36019989013672,19.41950294132477,False,-0.04657370920984049,19.63844697539115
36,BAX,37,27,0.7297297297297297,13,19,0.6842105263157895,-0.0006312684985515888,35.70000076293945,2024-10-31,38.28989994049072,38.265728732845595,True,-0.08748151220214322,38.67600042700932
7,CMI,37,23,0.6216216216216216,15,22,0.6818181818181818,0.004410227012489811,328.9800109863281,2024-10-31,326.2746014404297,327.7135465011916,False,-0.03619749943209234,330.70735314721355
23,XLB,37,24,0.6486486486486487,15,22,0.6818181818181818,-0.0019028773198611411,93.38999938964844,2024-10-31,92.91150032043457,92.73470113372055,False,-0.023962169738365582,93.22594657200358
32,ARCC,37,23,0.6216216216216216,17,25,0.68,-0.0029999392358008165,21.139999389648438,2024-10-31,21.082099952697753,21.018854933876582,False,-0.024844697195565632,21.119597049534132
16,BFIN,37,24,0.6486486486486487,16,24,0.6666666666666666,0.0025683069195055995,12.1899995803833,2024-10-31,12.015500011444091,12.046359503264801,False,-0.07388312983775658,12.134970662847476
4,SBUX,37,24,0.6486486486486487,16,24,0.6666666666666666,0.0006093023320020842,97.69999694824219,2024-10-31,96.47939842224122,96.53818354469006,False,-0.06847275959685042,97.49242291647049
49,DDOG,37,22,0.5945945945945946,17,26,0.6538461538461539,0.006691391749800822,125.44000244140625,2024-10-31,128.03318514625505,128.88990534504342,True,-0.062449372250657414,130.67303304212177
40,EMR,37,25,0.6756756756756757,13,20,0.65,0.005667878225494595,108.2699966430664,2024-10-31,111.88888061106849,112.52305316115893,True,-0.04130998968444487,113.49789718459554
13,KO,37,26,0.7027027027027027,9,14,0.6428571428571429,0.00012682704575885874,65.30999755859375,2024-10-31,67.42269828796387,67.43124930960482,True,-0.024228088794472302,67.8444889921313
51,AMD,37,23,0.6216216216216216,12,19,0.631578947368421,0.001433736530443938,144.07000732421875,2024-10-31,158.98740234375,159.21534839037062,True,-0.10662402772658325,162.2933849288758
42,QSR,37,26,0.7027027027027027,10,16,0.625,0.0013206223972943324,69.55000305175781,2024-10-31,69.79359962463379,69.88577061548587,True,-0.03873993768599094,70.55311231274482
43,SUN,37,26,0.7027027027027027,10,16,0.625,0.0008364403853075881,50.79999923706055,2024-10-31,52.464999771118165,52.50888361574189,True,-0.03806094052763597,53.161449592884104
48,SYY,37,22,0.5945945945945946,8,13,0.6153846153846154,-0.004303346384771424,74.94999694824219,2024-10-31,77.16440071105957,76.83233556622658,True,-0.05086616285810511,77.44725893299606
38,CNI,37,27,0.7297297297297297,9,15,0.6,0.0009548867023850785,107.91999816894531,2024-10-31,112.86899963378906,112.97677674065086,True,-0.03531519563275307,113.78494346553349
45,UNP,37,26,0.7027027027027027,9,15,0.6,0.005266678397195381,232.07000732421875,2024-10-31,243.4212026977539,244.70322388742144,True,-0.03063424917231365,246.60052311032337
0,AAPL,37,22,0.5945945945945946,15,25,0.6,0.0004905707971252936,225.91000366210938,2024-10-31,228.32019821166992,228.4322054333064,True,-0.06770410343092315,230.09755490647353
37,CPB,37,24,0.6486486486486487,8,14,0.5714285714285714,-0.006587123263334628,46.650001525878906,2024-10-31,49.608600578308106,49.28182261137726,True,-0.03694047688025738,49.67497154937217
29,EA,37,23,0.6216216216216216,12,21,0.5714285714285714,7.425418629516609e-06,150.85000610351562,2024-10-31,144.3890995788574,144.39017172836733,False,-0.030826699886982865,145.50196294547266
25,XLV,37,22,0.5945945945945946,10,19,0.5263157894736842,-0.00014363744327315067,146.8699951171875,2024-10-31,147.97760009765625,147.95634497351654,True,-0.01716797200815814,148.6554030518399
30,ADBE,37,20,0.5405405405405406,4,12,0.3333333333333333,-0.004341842003944588,478.0799865722656,2024-10-31,510.00159576416013,507.7872494135925,True,-0.03759726506619644,512.9531618094552
